scen_num,sample_num,capacity_multiplier,exp_name,date,group_id,reopen,delay,rollback,crit_det,date_min,date_max,type,subtype,days_above
1583,143,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-25,1495,50perc,1daysdelay,weak (20%),523,2020-12-25,2021-01-29,threshold,above_threshold,35.0805008944566
1678,152,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-25,1584,50perc,1daysdelay,weak (20%),531,2020-12-25,2021-01-16,threshold,above_threshold,21.8067978533109
1713,155,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-25,1619,50perc,1daysdelay,weak (20%),519,2020-12-25,2021-02-21,threshold,above_threshold,57.8354203935602
1462,132,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-26,1390,50perc,1daysdelay,weak (20%),524,2020-12-26,2021-01-29,threshold,above_threshold,34.1323792486583
1482,134,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-26,1407,50perc,1daysdelay,weak (20%),521,2020-12-26,2021-02-07,threshold,above_threshold,43.6135957066163
1216,110,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-27,1162,50perc,1daysdelay,weak (20%),518,2020-12-27,2021-02-14,threshold,above_threshold,49.3023255813977
1394,126,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-27,1324,50perc,1daysdelay,weak (20%),518,2020-12-27,2021-01-27,threshold,above_threshold,31.2880143112689
1372,124,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-28,1304,50perc,1daysdelay,weak (20%),521,2020-12-28,2021-01-09,threshold,above_threshold,12.3255813953474
1405,127,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-28,1334,50perc,1daysdelay,weak (20%),516,2020-12-28,2021-01-01,threshold,above_threshold,4.74060822898315
1715,155,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-28,1621,50perc,1daysdelay,weak (20%),522,2020-12-28,2021-02-10,threshold,above_threshold,44.5617173524173
758,68,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-29,722,50perc,1daysdelay,weak (20%),523,2020-12-29,2021-01-28,threshold,above_threshold,30.3398926654734
1449,131,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-29,1377,50perc,1daysdelay,weak (20%),521,2020-12-29,2020-12-29,threshold,above_threshold,0
1506,136,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-29,1430,50perc,1daysdelay,weak (20%),524,2020-12-29,2021-01-26,threshold,above_threshold,28.4436493738824
1825,165,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-29,1727,50perc,1daysdelay,weak (20%),524,2020-12-29,2021-02-11,threshold,above_threshold,44.5617173524146
1902,172,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-29,1803,50perc,1daysdelay,weak (20%),520,2020-12-29,2021-01-22,threshold,above_threshold,24.6511627906975
1207,109,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-30,1154,50perc,1daysdelay,weak (20%),518,2020-12-30,2021-01-04,threshold,above_threshold,5.68872987477316
1251,113,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-30,1186,50perc,1daysdelay,weak (20%),542,2020-12-30,2021-01-16,threshold,above_threshold,17.0661896243278
1383,125,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-30,1314,50perc,1daysdelay,weak (20%),518,2020-12-30,2021-01-16,threshold,above_threshold,17.0661896243278
1570,142,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-30,1482,50perc,1daysdelay,weak (20%),517,2020-12-30,2021-01-24,threshold,above_threshold,25.5992844364903
2067,187,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-30,1955,50perc,1daysdelay,weak (20%),523,2020-12-30,2021-01-30,threshold,above_threshold,31.2880143112662
1625,147,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-31,1534,50perc,1daysdelay,weak (20%),523,2020-12-31,2021-02-05,threshold,above_threshold,35.0805008944566
1724,156,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-31,1630,50perc,1daysdelay,weak (20%),527,2020-12-31,2021-02-06,threshold,above_threshold,36.9767441860476
1284,116,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-01-01,1217,50perc,1daysdelay,weak (20%),516,2021-01-01,2021-01-14,threshold,above_threshold,12.3255813953474
888,80,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-01-02,844,50perc,1daysdelay,weak (20%),518,2021-01-02,2021-01-02,threshold,above_threshold,0
1174,106,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-01-03,1121,50perc,1daysdelay,weak (20%),522,2021-01-03,2021-02-05,threshold,above_threshold,32.2361359570672
1293,117,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-01-04,1225,50perc,1daysdelay,weak (20%),523,2021-01-04,2021-01-06,threshold,above_threshold,1.89624329159105
1480,134,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-01-05,1405,50perc,1daysdelay,weak (20%),526,2021-01-05,2021-02-01,threshold,above_threshold,26.5474060822885
871,79,0.2,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-01-07,827,50perc,1daysdelay,weak (20%),516,2021-01-07,2021-04-13,threshold,above_threshold,95.7602862254006
1592,144,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-01-11,1504,50perc,1daysdelay,weak (20%),516,2021-01-11,2021-01-28,threshold,above_threshold,17.0661896243278
1075,97,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-01-15,1025,50perc,1daysdelay,weak (20%),521,2021-01-15,2021-01-15,threshold,above_threshold,0
1005,91,0.4,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-01-17,956,50perc,1daysdelay,weak (20%),540,2021-01-17,2021-03-17,threshold,above_threshold,59.731663685154
1711,155,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-01-20,1617,50perc,1daysdelay,weak (20%),517,2021-01-20,2021-02-09,threshold,above_threshold,19.9105545617171
1102,100,0.2,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-01-27,1052,50perc,1daysdelay,weak (20%),519,2021-01-27,2021-01-27,threshold,above_threshold,0
1348,122,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2021-02-06,1280,50perc,1daysdelay,weak (20%),534,2021-02-06,2021-02-12,threshold,above_threshold,6.63685152057696
989,89,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr4_triggeredrollback_reopen,2020-11-09,953,50perc,1daysdelay,moderate (40%),519,2020-11-09,2020-12-25,threshold,above_threshold,45.5098389982129
